filename,width,height,class,xmin,ymin,xmax,ymax
parking_lot_10.jpg,410,230,occupied,1,107,75,230
parking_lot_10.jpg,410,230,occupied,68,108,145,230
parking_lot_10.jpg,410,230,occupied,138,108,214,230
parking_lot_10.jpg,410,230,occupied,204,105,282,230
parking_lot_10.jpg,410,230,occupied,269,103,351,230
parking_lot_10.jpg,410,230,occupied,333,103,410,230
parking_lot_114_1.jpg,164,117,free,7,28,32,76
parking_lot_114_1.jpg,164,117,free,49,28,75,75
parking_lot_114_1.jpg,164,117,free,92,28,116,75
parking_lot_114_1.jpg,164,117,occupied,28,28,53,75
parking_lot_114_1.jpg,164,117,occupied,71,28,95,76
parking_lot_114_1.jpg,164,117,occupied,112,28,137,76
parking_lot_114_1.jpg,164,117,free,133,28,158,76
parking_lot_114_2.jpg,195,149,occupied,14,40,40,89
parking_lot_114_2.jpg,195,149,occupied,56,40,82,89
parking_lot_114_2.jpg,195,149,occupied,166,40,190,99
parking_lot_114_2.jpg,195,149,occupied,78,41,104,90
parking_lot_114_2.jpg,195,149,free,36,40,61,88
parking_lot_114_2.jpg,195,149,free,122,40,147,88
parking_lot_114_2.jpg,195,149,free,142,39,167,87
parking_lot_114_3.jpg,225,151,free,130,70,157,119
parking_lot_114_3.jpg,225,151,free,151,69,178,119
parking_lot_114_3.jpg,225,151,free,172,69,199,119
parking_lot_114_3.jpg,225,151,free,193,70,220,120
parking_lot_114_3.jpg,225,151,free,192,24,219,74
parking_lot_114_3.jpg,225,151,free,172,24,199,74
parking_lot_114_3.jpg,225,151,free,151,24,178,74
parking_lot_114_3.jpg,225,151,free,109,70,135,120
parking_lot_114_3.jpg,225,151,free,87,70,115,120
parking_lot_114_3.jpg,225,151,free,67,70,93,120
parking_lot_114_3.jpg,225,151,free,46,70,73,119
parking_lot_114_3.jpg,225,151,occupied,131,24,155,74
parking_lot_114_4.jpg,136,122,free,1,13,26,61
parking_lot_114_4.jpg,136,122,free,64,13,90,61
parking_lot_114_4.jpg,136,122,free,85,13,111,61
parking_lot_114_4.jpg,136,122,free,106,12,132,61
parking_lot_114_4.jpg,136,122,free,1,58,27,107
parking_lot_114_4.jpg,136,122,free,22,57,49,107
parking_lot_114_4.jpg,136,122,free,43,57,69,106
parking_lot_114_4.jpg,136,122,free,85,57,112,106
parking_lot_114_4.jpg,136,122,free,106,57,133,106
parking_lot_114_4.jpg,136,122,occupied,22,13,48,60
parking_lot_114_4.jpg,136,122,occupied,43,14,70,61
parking_lot_114_4.jpg,136,122,occupied,63,56,91,108
parking_lot_12.jpg,1202,800,occupied,39,30,149,84
parking_lot_12.jpg,1202,800,occupied,146,31,245,85
parking_lot_12.jpg,1202,800,occupied,39,80,148,126
parking_lot_12.jpg,1202,800,occupied,146,79,245,125
parking_lot_12.jpg,1202,800,occupied,142,119,246,173
parking_lot_12.jpg,1202,800,occupied,143,168,254,221
parking_lot_12.jpg,1202,800,occupied,47,212,150,265
parking_lot_12.jpg,1202,800,occupied,146,213,250,263
parking_lot_12.jpg,1202,800,occupied,156,303,252,358
parking_lot_12.jpg,1202,800,occupied,45,348,155,400
parking_lot_12.jpg,1202,800,occupied,152,390,246,446
parking_lot_12.jpg,1202,800,occupied,150,438,248,494
parking_lot_12.jpg,1202,800,occupied,55,484,153,536
parking_lot_12.jpg,1202,800,occupied,150,484,246,534
parking_lot_12.jpg,1202,800,occupied,150,529,250,583
parking_lot_12.jpg,1202,800,occupied,42,615,150,674
parking_lot_12.jpg,1202,800,occupied,45,665,149,715
parking_lot_12.jpg,1202,800,occupied,146,710,245,763
parking_lot_12.jpg,1202,800,occupied,345,31,443,84
parking_lot_12.jpg,1202,800,occupied,443,31,535,82
parking_lot_12.jpg,1202,800,occupied,345,79,439,132
parking_lot_12.jpg,1202,800,occupied,347,125,440,176
parking_lot_12.jpg,1202,800,occupied,439,124,540,172
parking_lot_12.jpg,1202,800,occupied,439,170,541,218
parking_lot_12.jpg,1202,800,occupied,345,212,445,268
parking_lot_12.jpg,1202,800,occupied,440,213,541,268
parking_lot_12.jpg,1202,800,occupied,348,263,446,312
parking_lot_12.jpg,1202,800,occupied,441,261,548,312
parking_lot_12.jpg,1202,800,occupied,345,305,438,359
parking_lot_12.jpg,1202,800,occupied,442,304,545,358
parking_lot_12.jpg,1202,800,occupied,341,355,440,406
parking_lot_12.jpg,1202,800,occupied,337,405,434,453
parking_lot_12.jpg,1202,800,occupied,439,393,539,446
parking_lot_12.jpg,1202,800,occupied,439,442,545,490
parking_lot_12.jpg,1202,800,occupied,440,485,545,536
parking_lot_12.jpg,1202,800,occupied,442,572,540,629
parking_lot_12.jpg,1202,800,occupied,329,616,435,674
parking_lot_12.jpg,1202,800,occupied,440,622,542,673
parking_lot_12.jpg,1202,800,occupied,329,666,439,723
parking_lot_12.jpg,1202,800,occupied,331,719,440,773
parking_lot_12.jpg,1202,800,occupied,438,755,541,800
parking_lot_12.jpg,1202,800,occupied,634,1,736,36
parking_lot_12.jpg,1202,800,occupied,735,1,828,36
parking_lot_12.jpg,1202,800,occupied,633,32,736,83
parking_lot_12.jpg,1202,800,occupied,731,34,834,83
parking_lot_12.jpg,1202,800,occupied,632,77,730,131
parking_lot_12.jpg,1202,800,occupied,727,81,835,131
parking_lot_12.jpg,1202,800,occupied,629,124,730,176
parking_lot_12.jpg,1202,800,occupied,729,127,835,177
parking_lot_12.jpg,1202,800,occupied,634,168,733,217
parking_lot_12.jpg,1202,800,occupied,730,173,836,220
parking_lot_12.jpg,1202,800,occupied,634,210,732,265
parking_lot_12.jpg,1202,800,occupied,725,214,841,266
parking_lot_12.jpg,1202,800,occupied,630,258,730,311
